timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9
1738237950.132374,0.022546314,0.045956194,0.01718477,-0.16759527,0.46344638,-0.10850345,0.053833686,0.047133498,-0.24762484,0.29672945
1738237950.1437263,0.029072672,0.04157849,0.0036689974,-0.14919004,0.46015996,-0.09965469,0.08839219,0.04708316,-0.21458367,0.33245027
1738237950.152699,0.045500197,0.04049777,-0.005598434,-0.12489846,0.4046825,-0.087081835,0.13739866,0.047991708,-0.19550306,0.29677677
1738237950.1639833,0.033490997,0.02559686,-0.013803193,-0.12737033,0.24806803,-0.04994276,0.1420434,0.029823285,-0.17170084,0.25015506
1738237950.1755474,0.044261392,0.027804825,-0.019483117,-0.14945017,-0.014814854,-0.0488927,0.19870815,0.033888094,-0.120490074,0.16846919
1738237950.1868722,0.030351311,0.0036606817,-0.028860847,-0.18072535,-0.24938047,-0.0611201,0.26457402,0.033947475,-0.06629131,0.09052088
1738237950.1966572,0.025837276,-0.015231808,-0.040063858,-0.2244464,-0.43774363,-0.06343156,0.27729803,0.02234656,-0.034723,0.037504494
1738237950.2079444,0.042256508,-0.046181355,-0.045670666,-0.2893698,-0.5875729,-0.06297123,0.2609732,0.004357263,-0.027605152,-0.0037023015
1738237950.2177305,0.058221042,-0.054446694,-0.062179975,-0.353189,-0.703341,-0.06508105,0.23126283,-0.014536772,-0.012067614,-0.09674955
1738237950.2289107,0.072609305,-0.06851051,-0.05745195,-0.41325563,-0.7746122,-0.060741536,0.17209391,-0.023915386,0.0038231201,-0.15861678
1738237950.2389107,0.11306493,-0.06229314,-0.042779922,-0.46332052,-0.7677812,-0.05571001,0.101644486,-0.04921834,0.025516652,-0.21694462
1738237950.249941,0.15115881,-0.051298797,-0.025959909,-0.5073478,-0.73916453,-0.05108242,0.06312457,-0.065371424,0.03619011,-0.25712466
1738237950.2604713,0.18048544,0.002121618,-0.002050695,-0.5385984,-0.7074879,-0.05873319,0.020816639,-0.07254019,0.054308113,-0.3125763
1738237950.2712379,0.19356199,0.035292495,0.013844822,-0.5489707,-0.648649,-0.06509364,0.009629663,-0.06754195,0.060902204,-0.31581953
1738237950.2816792,0.19993486,0.03917923,0.029188776,-0.5382978,-0.58087105,-0.06607443,-0.012883283,-0.078747734,0.06813015,-0.32654473
1738237950.2923973,0.1911968,0.024420362,0.03427075,-0.51396215,-0.50730884,-0.06952401,-0.004469812,-0.085909806,0.060683202,-0.34422645
1738237950.3037293,0.1771179,-0.006226013,0.037785716,-0.4584522,-0.39483547,-0.07029722,-0.009742379,-0.097401716,0.03943332,-0.33063948
1738237950.3142593,0.16187541,-0.02678499,0.03529677,-0.398353,-0.24009293,-0.06665944,-0.00385027,-0.09486665,0.01560558,-0.3239569
1738237950.3234725,0.1629188,-0.038834166,0.028695453,-0.34255606,0.035114177,-0.03305107,0.0051615387,-0.07915371,-0.029760791,-0.2619267
1738237950.3345335,0.16272753,-0.028289732,0.008843938,-0.2905391,0.20964357,-0.010141425,0.0011062846,-0.04997404,-0.06198345,-0.20446837
1738237950.3444736,0.14732811,-0.037751615,0.0010366789,-0.24581736,0.3367829,-0.0092003,0.0050082467,-0.007319059,-0.076895736,-0.13506845
1738237950.355886,0.12029675,-0.018565785,0.003646283,-0.20836236,0.409269,-0.017856868,0.03338705,0.035984576,-0.06959364,-0.10382932
